flight_id,cluster
27,5
168,3
191,3
194,3
258,6
270,6
327,10
346,4
384,10
404,10
431,2
454,5
458,9
466,9
480,5
500,5
574,9
577,9
579,10
623,10
675,10
676,10
700,5
716,10
724,5
753,8
779,8
790,2
823,8
834,7
836,8
870,8
887,7
956,10
990,6
1026,4
1079,6
1095,10
1096,9
1107,6
1135,9
1136,9
1170,9
1182,4
1225,1
1315,10
1338,6
1374,6
1440,6
1444,4
1504,2
1513,8
1564,2
1668,5
1690,8
1698,8
1711,10
1761,9
1767,9
1775,1
1860,8
1898,7
1989,7
2001,8
2008,8
2078,10
2084,4
2096,4
2103,6
2108,9
2122,9
2146,9
2150,9
2160,6
2206,7
2256,7
2261,8
2264,8
2310,2
2386,8
2410,8
2445,7
2449,8
2469,8
2483,2
2533,2
2539,8
2555,2
2560,2
2583,8
2631,7
2699,8
2752,8
2855,6
2857,6
2869,9
2951,6
2958,6
2989,10
2992,10
2995,7
3008,2
3022,4
3032,4
3041,9
3063,10
3103,2
3111,5
3147,9
3216,10
3255,8
3256,7
3288,7
3317,10
3328,10
3331,9
3397,2
3399,2
3417,7
3429,7
3446,8
3448,2
3449,2
3452,1
3453,1
3585,6
3636,6
3652,4
3761,8
3782,7
3799,2
3839,8
3850,8
3874,8
3877,8
3970,8
3986,10
3993,4
4080,7
4086,8
4108,6
4136,6
4147,8
4150,7
4187,7
4213,3
4250,5
4273,9
4294,4
4315,6
4397,9
4410,6
4457,5
4473,10
4480,9
4527,5
4546,10
4590,5
4631,5
4665,9
4743,6
4773,3
4797,7
4839,6
4851,4
4855,4
4868,10
4937,2
4958,8
4985,7
5033,7
5052,5
5057,6
5059,6
5092,6
5106,6
5112,9
5153,9
5154,9
5167,4
5191,10
5247,4
5293,10
5342,9
5349,10
5373,6
5412,4
5422,6
5506,9
5508,9
5567,4
5569,4
5592,9
5594,9
5622,6
5661,4
5680,9
5751,8
5759,7
5787,2
5797,8
5799,8
5802,8
5865,8
6000,3
6004,10
6025,3
6030,5
6046,3
6085,6
6197,9
6204,9
6225,9
6237,2
6246,9
6262,9
6287,2
6298,10
6338,10
6362,2
6371,2
6399,9
6400,10
6463,5
6495,9
6498,10
6515,5
6522,10
6538,10
6557,5
6602,2
6694,10
6728,6
6748,4
6749,4
6786,6
6808,10
6810,3
6868,9
6881,4
6892,7
6941,10
6972,6
6984,9
6994,5
7007,9
7037,9
7051,9
7052,9
7108,6
7217,10
7255,10
7256,9
7265,4
7266,6
7280,10
7312,6
7330,10
7341,5
7404,5
7416,8
7434,2
7437,2
7501,5
7519,8
7524,2
7542,7
7607,9
7627,6
7630,6
7632,6
7639,10
7657,10
7664,2
7727,9
7752,5
7776,4
7877,9
7924,10
7976,10
8054,10
8065,6
8066,4
8120,6
8141,6
8173,9
8182,10
8190,4
8223,6
8310,6
8326,10
8355,10
8368,4
8384,4
8387,4
8411,9
8413,10
8425,4
8432,4
8445,6
8635,8
8655,8
8693,8
8724,7
8753,8
8778,8
8808,7
8839,8
8880,3
8897,2
8906,8
8916,8
8940,8
8984,2
9036,8
9057,8
9099,8
9113,8
9149,8
9157,8
9162,2
9254,7
9257,5
9295,7
9325,2
9357,2
9371,4
9379,6
9383,2
9400,2
9426,7
9477,7
9583,9
9625,10
9671,7
9680,8
9710,8
9711,8
9722,6
9736,2
9749,7
9755,2
9783,4
9805,10
9835,8
9863,7
9914,4
9934,9
9998,10
10041,2
10045,2
10090,7
10139,10
10148,10
10182,8
10187,8
10199,6
10200,6
10228,8
10305,8
10338,8
10405,7
10411,7
10422,8
10507,8
10522,8
10543,7
10616,2
10770,8
10786,7
10802,8
10857,10
10887,8
