flight_id,cluster,label
17007,7,18
16993,14,23
16957,8,5
16912,8,5
16902,4,3
16888,7,19
16887,7,19
16883,7,19
16859,7,18
16858,7,19
16849,7,19
16833,3,3
16832,3,3
16817,8,5
16806,7,18
16796,5,35
16792,5,35
16782,13,11
16750,6,16
16746,7,19
16730,6,16
16728,6,16
16715,3,3
16713,3,3
16708,8,5
16696,11,13
16694,13,11
16691,10,27
16658,8,5
16655,8,5
16648,8,5
16646,9,24
16641,10,27
16639,7,18
16638,7,19
16618,5,2
16598,5,2
16588,3,3
16568,5,2
16566,16,26
16558,16,29
16557,16,26
16551,16,26
16545,5,35
16539,11,13
16537,13,11
16532,2,34
16514,11,13
16513,13,11
16511,13,11
16507,13,11
16500,3,3
16498,8,5
16496,8,5
16489,12,25
16479,16,26
16475,16,26
16452,16,26
16436,10,27
16428,3,3
16426,8,5
16422,14,23
16417,12,25
16414,16,26
16405,2,34
16386,13,11
16383,5,2
16382,16,26
16361,16,26
16360,16,29
16353,15,29
16349,15,29
16338,3,3
16322,16,26
16317,3,3
16306,8,5
16305,8,5
16299,12,25
16297,12,25
16275,3,3
16241,14,23
16224,8,5
16220,3,3
16215,8,5
16205,10,27
16188,15,29
16186,16,26
16185,16,43
16181,5,35
16180,2,34
16172,5,33
16160,11,12
16157,13,11
16146,8,5
16098,16,26
16075,3,3
16070,8,5
16065,8,5
16062,3,3
16059,10,27
16034,16,26
16032,16,26
16018,5,2
16010,9,24
16009,10,27
15991,8,5
15988,4,14
15984,7,19
15977,6,16
15962,2,7
15948,2,7
15934,6,16
15918,5,33
15917,5,35
15914,5,35
15888,7,19
15887,6,16
15878,5,2
15873,4,14
15864,4,3
15856,3,3
15842,5,2
15839,7,19
15835,7,19
15827,6,16
15803,5,2
15784,5,2
15756,6,16
15744,6,16
15732,3,3
15731,8,5
15714,8,5
15686,10,27
15676,5,2
15655,16,43
15654,15,29
15639,5,2
15630,5,2
15608,3,3
15602,15,29
15601,16,47
15587,15,29
15586,16,26
15581,5,2
15578,5,2
15564,16,26
15547,16,26
15543,16,26
15510,16,26
15475,16,26
15463,15,29
15439,15,47
15433,16,26
15395,16,26
15391,16,26
15385,16,29
15384,16,43
15381,10,39
15377,11,13
15373,13,11
15343,15,29
15325,16,26
15282,16,26
15278,16,26
15277,15,29
15270,15,29
15266,5,2
15263,16,26
15259,16,26
15249,15,29
15223,16,26
15214,15,29
15211,16,26
15196,5,2
15174,2,34
15166,5,35
15164,2,34
15155,16,26
15129,16,26
15124,15,29
15089,14,23
15076,14,23
15064,8,5
15058,3,3
15052,11,13
15050,11,12
15025,5,35
15022,5,33
15021,5,33
15014,16,26
15003,15,29
15001,15,29
14973,16,26
14968,16,26
14967,16,26
14952,5,2
14943,5,2
14936,16,26
14933,16,26
14929,16,26
14899,16,26
14898,15,29
14897,16,26
14894,16,26
14882,5,2
