flight_id,cluster
10,6
20,5
27,2
81,5
88,10
90,10
114,6
130,9
139,8
144,9
151,8
156,8
158,8
167,8
168,8
170,9
191,9
192,8
194,9
200,8
202,9
210,8
220,8
254,5
255,10
256,10
258,4
269,5
270,4
283,14
290,16
305,10
307,4
316,4
320,14
327,16
341,10
346,10
384,15
404,11
409,4
411,10
413,10
419,5
427,7
429,7
431,7
454,2
458,13
460,13
464,13
466,13
480,2
499,1
500,2
501,2
502,1
506,2
517,13
524,2
525,2
564,2
567,2
574,13
577,13
579,15
581,15
586,2
617,2
623,15
625,2
643,15
675,15
676,15
692,15
700,2
701,1
716,15
720,13
722,15
723,15
724,3
727,6
739,19
753,18
755,18
774,17
779,18
790,6
808,17
823,19
825,19
830,17
834,17
836,19
858,6
868,17
870,19
879,19
882,17
883,19
887,17
896,6
897,6
905,17
908,17
909,19
919,7
933,7
937,7
956,15
973,3
978,15
990,5
1011,14
1013,14
1026,10
1030,16
1052,5
1064,16
1065,16
1071,5
1079,5
1095,16
1096,14
1107,4
1108,16
1112,16
1124,10
1135,14
1136,14
1144,14
1153,5
1170,14
1178,10
1182,10
1195,4
1206,14
1225,1
1260,4
1305,16
1311,16
1315,16
1318,14
1320,16
1338,5
1341,4
1342,4
1348,16
1374,4
1393,16
1415,5
1423,16
1437,10
1440,4
1444,10
1450,4
1461,16
1465,16
1472,16
1477,14
1498,15
1504,7
1513,19
1520,1
1524,2
1527,2
1531,13
1533,13
1538,15
1539,7
1541,7
1543,7
1559,13
1564,7
1571,19
1572,19
1622,15
1639,1
1661,7
1668,3
1687,17
1690,19
1696,17
1698,18
1703,14
1711,16
1714,16
1721,2
1728,2
1733,6
1734,6
1751,19
1752,19
1759,18
1761,13
1767,13
1775,1
1777,1
1785,2
1808,19
1860,18
1893,17
1897,17
1898,17
1911,18
1926,19
1964,18
1967,19
1975,19
1989,17
1999,17
2001,19
2007,17
2008,19
2030,18
2078,16
2084,10
2096,10
2101,5
2103,4
2104,14
2106,16
2107,16
2108,14
2110,14
2122,14
2134,10
2140,4
2145,14
2146,14
2150,14
2151,16
2160,5
2170,4
2187,14
2199,16
2206,19
2256,17
2261,19
2264,19
2278,6
2288,18
2290,18
2301,19
2310,6
2313,6
2336,7
2345,17
2376,17
2380,19
2381,19
2386,19
2410,19
2413,18
2419,19
2433,6
2445,17
2448,19
2449,18
2460,17
2469,18
2479,6
2483,6
2489,17
2494,18
2495,18
2515,2
2527,15
2533,6
2539,18
2555,6
2560,6
2573,19
2580,18
2583,18
2616,19
2625,18
2631,17
2635,19
2645,17
2648,19
2653,6
2668,19
2699,19
2705,17
2707,18
2718,6
2748,18
2752,19
2814,6
2823,6
2832,19
2841,17
2844,19
2851,19
2855,4
2857,5
2863,4
2869,14
2900,4
2905,5
2907,5
2916,4
2951,4
2958,4
2962,4
2977,10
2989,11
2992,11
2995,17
2996,17
3008,6
3022,10
3032,10
3041,14
3047,14
3054,14
3063,16
3076,15
3103,7
3107,7
3110,7
3111,3
3114,13
3138,7
3141,4
3142,7
3147,13
3171,19
3178,17
3188,6
3216,15
3252,4
3255,19
3256,17
3269,17
3288,17
3317,16
3328,16
3331,14
3334,16
3348,4
3367,12
3373,4
3384,10
3390,12
3397,6
3399,6
3415,18
3417,17
3429,17
3441,19
3446,18
3448,6
3449,6
3452,1
3453,1
3454,1
3462,15
3472,18
3491,10
3496,14
3506,14
3510,16
3527,14
3547,7
3549,7
3552,7
3563,15
3571,4
3585,4
3595,4
3630,4
3636,5
3645,4
3652,10
3670,10
3672,10
3685,10
3703,11
3717,5
3719,10
3725,4
3728,5
3732,12
3734,11
3743,11
3761,18
3764,6
3775,19
3782,17
3799,6
3806,16
3819,5
3839,19
3847,18
3850,19
3871,18
3874,19
3877,19
3887,19
3904,6
3913,6
3928,6
3948,17
3970,19
3984,14
3986,16
3993,10
3996,10
4003,4
4008,16
4077,5
4080,17
4083,19
4086,19
4108,4
4120,14
4131,14
4136,5
4140,4
4147,19
4150,17
4161,19
4164,17
4167,19
4168,19
4187,17
4213,8
4224,13
4250,3
4257,13
4261,7
4273,13
4279,2
4294,10
4307,10
4309,10
4310,10
4315,4
4317,4
4319,5
4322,5
4324,17
4339,19
4350,6
4354,6
4394,14
4397,14
4410,4
4411,10
4421,4
4441,18
4457,3
4460,7
4473,16
4480,14
4481,14
4504,5
4508,4
4509,15
4527,2
4539,2
4546,15
4547,13
4548,15
4553,13
4587,15
4590,2
4595,15
4625,13
4628,13
4631,2
4632,1
4635,2
4663,2
4665,13
4668,13
4701,5
4718,16
4743,4
4751,8
4757,9
4759,8
4773,9
4781,6
4797,17
4798,17
4809,18
4811,19
4812,16
4814,14
4834,10
4837,10
4839,4
4847,10
4848,5
4851,10
4855,10
4860,4
4868,12
4876,18
4908,17
4915,18
4920,13
4930,1
4937,7
4954,19
4958,19
4964,19
4970,6
4971,6
4985,17
4988,17
4995,17
5000,19
5001,18
5005,17
5010,10
5033,17
5036,6
5052,2
5057,5
5059,4
5063,4
5092,4
5095,10
5106,4
5112,14
5113,14
5114,14
5119,16
5136,10
5153,14
5154,14
5158,16
5165,4
5167,10
5169,5
5191,16
5205,10
5223,14
5229,14
5232,4
5247,10
5286,5
5293,16
5297,16
5299,14
5307,4
5309,16
5312,14
5318,16
5335,4
5339,14
5342,14
5349,16
5353,16
5368,19
5369,19
5373,4
5374,10
5394,16
5395,14
5411,10
5412,10
5422,5
5424,4
5443,16
5464,10
5506,14
5508,14
5516,14
5534,5
5551,14
5553,14
5554,16
5556,16
5567,10
5569,10
5583,10
5588,5
5592,14
5594,14
5600,16
5622,4
5624,4
5652,10
5656,4
5661,10
5662,10
5680,14
5691,14
5696,2
5698,2
5703,2
5718,19
5724,19
5748,18
5751,19
5759,17
5787,6
5788,6
5797,19
5799,18
5802,18
5805,19
5810,18
5815,6
5847,6
5865,18
5870,19
5917,6
5928,8
5931,17
5934,18
5939,17
5996,3
5997,3
6000,9
6003,12
6004,11
6006,11
6019,8
6023,9
6024,8
6025,8
6027,2
6030,2
6046,8
6051,8
6085,4
6086,4
6107,11
6156,8
6161,8
6167,15
6169,13
6179,15
6184,7
6191,7
6194,13
6197,13
6198,13
6204,13
6215,7
6225,13
6237,7
6242,7
6243,13
6246,13
6247,13
6259,13
6262,13
6273,13
6287,7
6298,15
6307,7
6332,7
6338,15
6343,13
6349,13
6350,13
6362,7
6371,7
6385,1
6399,13
6400,15
6406,15
6415,7
6425,13
6431,15
6463,2
6477,7
6480,7
6488,15
6495,13
6498,15
6507,7
6509,7
6515,3
6522,15
6523,15
6526,2
6538,15
6544,13
6557,2
6564,13
6565,13
6573,15
6575,7
6595,19
6602,7
6617,14
6636,4
6640,4
6650,14
6660,10
6673,4
6678,5
6694,16
6698,14
6703,16
6712,10
6728,5
6731,16
6734,14
6746,5
6748,10
6749,10
6751,10
6777,10
6786,4
6789,5
6808,16
6809,9
6810,8
6811,8
6812,9
6837,16
6854,14
6861,14
6868,14
6869,16
6881,10
6892,17
6910,18
6912,6
6934,16
6941,16
6945,16
6956,10
6966,4
6972,4
6974,5
6984,13
6994,2
7007,14
7037,14
7038,14
7046,14
7051,14
7052,14
7054,14
7084,16
7108,4
7130,19
7191,17
7216,16
7217,16
7241,4
7244,5
7255,16
7256,14
7257,16
7258,14
7260,16
7265,10
7266,5
7269,10
7280,15
7289,7
7297,3
7307,10
7312,4
7330,15
7341,2
7342,2
7362,10
7370,5
7375,11
7387,19
7396,6
7404,3
7416,19
7418,19
7434,6
7437,6
7445,4
7450,4
7465,11
7469,4
7474,4
7488,16
7501,2
7503,17
7519,19
7521,17
7524,6
7525,6
7542,17
7570,6
7599,15
7607,13
7619,7
7627,4
7630,5
7632,4
7634,4
7639,15
7640,13
7643,15
7645,2
7646,1
7647,2
7657,15
7658,15
7662,7
7664,7
7672,16
7676,10
7699,2
7725,2
7727,13
7740,2
7748,2
7752,2
7754,16
7759,14
7776,10
7777,10
7830,7
7833,15
7855,17
7877,14
7890,10
7898,10
7911,16
7913,14
7918,14
7924,16
7925,10
7928,10
7933,5
7950,16
7976,16
7977,16
8013,4
8034,16
8041,10
8054,11
8065,4
8066,10
8084,16
8087,16
8113,4
8117,4
8120,4
8138,11
8141,4
8165,14
8173,14
8182,16
8190,10
8213,14
8223,5
8225,10
8229,4
8255,14
8267,4
8268,4
8305,5
8310,4
8311,4
8314,14
8326,16
8347,10
8348,4
8355,16
8368,10
8381,11
8384,10
8387,10
8395,10
8411,14
8413,16
8425,10
8432,10
8445,4
8475,10
8487,4
8505,12
8532,10
8533,4
8534,5
8547,4
8550,4
8584,12
8602,8
8612,4
8616,10
8617,4
8633,18
8635,19
8639,19
8655,18
8657,17
8659,17
8675,6
8685,6
8693,18
8700,18
8717,19
8724,17
8731,6
8734,6
8753,18
8756,18
8757,18
8770,17
8773,17
8778,19
8795,17
8797,19
8802,17
8805,17
8808,17
8817,6
8839,19
8847,7
8858,17
8866,17
8877,19
8880,8
8891,9
8897,6
8906,18
8916,18
8934,18
8940,18
8947,17
8953,7
8984,6
9005,18
9036,18
9057,19
9076,6
9091,19
9099,19
9113,18
9119,18
9138,19
9149,19
9157,18
9162,6
9169,6
9175,17
9220,17
9239,17
9254,17
9255,19
9257,3
9295,17
9325,6
9352,19
9357,6
9371,10
9376,4
9379,4
9383,6
9386,3
9388,6
9398,6
9400,6
9418,17
9425,18
9426,17
9428,18
9430,17
9452,6
9477,19
9502,2
9535,13
9553,18
9578,13
9583,13
9604,4
9608,16
9619,16
9625,16
9635,17
9640,18
9671,17
9679,17
9680,18
9708,19
9710,18
9711,18
9717,10
9722,4
9723,4
9736,7
9749,17
9755,6
9759,6
9765,9
9771,9
9783,10
9786,4
9789,4
9805,16
9826,18
9830,17
9835,18
9841,6
9853,11
9862,19
9863,17
9869,19
9914,10
9932,14
9934,14
9935,14
9956,2
9984,18
9991,6
9998,15
10005,13
10034,15
10041,7
10045,7
10046,7
10060,17
10064,19
10090,17
10096,19
10120,19
10139,16
10148,16
10156,10
10179,17
10182,18
10187,18
10190,6
10199,5
10200,5
10201,4
10209,5
10211,5
10228,19
10269,9
10290,18
10299,18
10305,18
10326,17
10333,18
10336,19
10337,17
10338,18
10341,17
10342,19
10394,19
10405,17
10410,17
10411,17
10416,18
10421,18
10422,19
10444,18
10459,19
10460,18
10470,6
10507,18
10508,17
10521,19
10522,18
10537,17
10543,17
10549,18
10563,17
10581,18
10586,6
10589,6
10599,17
10616,6
10620,17
10654,19
10678,17
10716,4
10723,18
10726,6
10733,17
10734,17
10740,6
10749,6
10758,18
10770,19
10786,17
10802,18
10804,19
10840,17
10843,19
10851,12
10852,12
10857,11
10887,18
10914,19
10934,19
10945,8
10960,19
10968,18
10986,6
11010,17
11012,19
11018,18
11043,18
11063,17
11071,19
11072,19
11079,19
11084,13
11088,13
11092,15
11097,2
11099,2
11100,2
11107,19
11108,17
11118,19
11120,18
11122,17
11124,18
11125,18
11130,6
11136,19
11152,6
11172,10
11175,4
11179,13
11184,2
11187,1
11225,14
11246,15
11252,7
11256,3
11261,16
11271,10
11273,10
11286,15
11294,15
11311,19
11325,18
11378,15
11381,15
11400,8
11423,17
11428,18
11435,18
11454,17
11463,6
11476,13
11478,15
11484,14
11538,15
11539,2
11557,14
11564,11
11572,10
11574,12
11607,10
11630,10
11645,4
11653,4
11656,4
11699,14
11700,16
11704,16
11705,16
11718,10
11721,4
11727,4
11748,18
11758,17
11759,18
11763,18
11778,12
11785,11
11786,12
11787,11
11791,8
11793,9
11806,10
11813,4
11814,10
11818,17
11830,18
11849,1
11883,18
11890,18
11906,17
11912,18
11913,19
11939,2
11943,15
11969,13
11977,2
11994,13
11998,15
11999,2
12001,7
12012,13
12037,13
12059,16
12066,10
12069,10
12096,14
12101,14
12105,10
12120,4
12122,6
12131,19
12134,17
12141,17
12153,2
12157,6
12162,6
12169,18
12179,18
12204,11
12205,11
12213,10
12218,13
12226,4
12228,10
12234,10
12254,1
12272,18
12282,18
12290,19
12294,17
12303,6
12309,13
12312,15
12327,3
12360,4
12378,4
12382,11
12383,12
12387,11
12391,10
12394,5
12405,3
12413,7
12416,7
12437,15
12446,11
12456,4
12467,13
12476,2
12488,4
12489,4
12490,4
12494,12
12501,11
12507,10
12524,4
12539,4
12548,10
12584,11
12587,12
12610,11
12615,11
12616,12
12629,4
12644,11
12651,12
12652,12
12660,4
12671,5
12676,4
12696,10
12697,10
12701,4
12703,4
12704,4
12708,4
12716,4
12719,4
12724,5
12725,4
12734,10
12737,5
12783,5
12797,11
12799,12
12808,13
12811,13
12814,15
12825,10
12835,4
12849,16
12855,14
12859,16
12863,10
12872,10
12881,5
12882,14
12885,14
12891,14
12899,14
12903,4
12907,10
12927,14
12933,16
12938,14
12948,16
12952,4
12959,10
12964,4
12968,4
12973,14
12976,16
12988,10
13001,14
13002,14
13015,5
13017,10
13033,14
13038,14
13060,10
13065,17
13088,6
13098,14
13118,10
13120,10
13142,14
13168,10
13187,2
13199,17
13201,18
13206,19
13228,19
13238,18
13269,10
13283,13
13291,15
13300,2
13332,7
13336,17
13365,16
13372,16
13377,16
13398,7
13406,3
13415,13
13424,13
13437,15
13440,7
13442,7
13459,13
13464,15
13465,15
13467,13
13468,15
13469,13
13474,7
13492,15
13502,2
13505,3
13507,7
13510,7
13515,3
13523,13
13556,6
13559,19
13564,17
13585,19
13600,10
13615,14
13625,10
13647,14
13658,19
13661,19
13665,17
13680,19
13691,19
13718,4
13720,4
13733,7
13739,15
13743,15
13748,15
13751,15
13759,17
13781,19
13785,19
13795,18
13802,17
13815,19
13829,12
13876,14
13891,10
13893,10
