flight_id,t,x,y,z
1,14978,-0.136538484,-0.392737903,0.441328524
1,14983,-0.135227575,-0.389824822,0.438551774
1,14988,-0.133643069,-0.386365334,0.433322851
1,14993,-0.132277002,-0.38303925,0.431485959
1,14998,-0.130841207,-0.379542766,0.427832566
1,15003,-0.129318189,-0.376097324,0.427840745
1,15008,-0.127761935,-0.372300135,0.427127685
1,15013,-0.126471061,-0.369290731,0.427902677
1,15018,-0.125075439,-0.365770351,0.42802188
1,15023,-0.123752492,-0.36241526,0.427916793
1,15028,-0.122383055,-0.359064549,0.427737293
1,15033,-0.12101639,-0.355882869,0.427915959
1,15038,-0.119675981,-0.352722958,0.428817627
1,15043,-0.118173161,-0.349410316,0.427916179
1,15048,-0.116910336,-0.346631815,0.427868175
1,15053,-0.115549054,-0.343457208,0.428007411
1,15058,-0.114274549,-0.340329969,0.427962876
1,15063,-0.11299043,-0.337173868,0.427761047
1,15068,-0.111567271,-0.334205327,0.427801844
1,15073,-0.110141681,-0.331032878,0.427992568
1,15078,-0.10882557,-0.327835755,0.427801963
1,15083,-0.107596071,-0.324802057,0.426576559
1,15088,-0.106416407,-0.321303257,0.423175198
1,15093,-0.105526601,-0.317949086,0.420525378
1,15098,-0.105214312,-0.31435823,0.413526289
1,15103,-0.104737947,-0.310939242,0.409752264
1,15108,-0.104820724,-0.307324856,0.405267797
1,15113,-0.105340108,-0.303565066,0.400010565
1,15118,-0.105785032,-0.300112458,0.393321566
1,15123,-0.106258088,-0.296446948,0.38995079
1,15128,-0.106432622,-0.292895497,0.382709849
1,15133,-0.106513924,-0.289486348,0.380232767
1,15138,-0.106505366,-0.286165283,0.37510732
1,15142,-0.106067752,-0.282538631,0.373571941
1,15148,-0.105201953,-0.279036372,0.370635864
1,15153,-0.104303583,-0.275992448,0.369805891
1,15158,-0.102108766,-0.272891763,0.367829692
1,15163,-0.100782203,-0.270552983,0.367322877
1,15167,-0.098617902,-0.267791766,0.365299081
1,15173,-0.096682001,-0.265192953,0.365223442
1,15177,-0.094876466,-0.262732105,0.36440546
1,15183,-0.092670232,-0.26045858,0.363339668
1,15188,-0.090538218,-0.25790952,0.360700144
1,15192,-0.088933148,-0.255922693,0.357737279
1,15198,-0.087047897,-0.253427896,0.355535318
1,15202,-0.085245505,-0.250828395,0.352499087
1,15207,-0.083450106,-0.248335359,0.348079827
1,15213,-0.081791387,-0.245880421,0.343478986
1,15217,-0.079994824,-0.243596115,0.339879427
1,15223,-0.078109751,-0.241124456,0.336433872
1,15227,-0.076291751,-0.238744085,0.333088549
1,15232,-0.074685762,-0.236448962,0.328443867
1,15237,-0.072815234,-0.234048079,0.324863952
1,15242,-0.071138773,-0.231765199,0.321020035
1,15248,-0.069449297,-0.229333439,0.317245776
1,15252,-0.067776799,-0.227019663,0.311909147
1,15257,-0.066077513,-0.224683868,0.308534828
1,15262,-0.064447664,-0.222294799,0.304754663
1,15267,-0.062609801,-0.219847678,0.299434898
1,15272,-0.060881635,-0.217492128,0.295686904
1,15277,-0.059114973,-0.215230388,0.289875837
1,15282,-0.057340286,-0.212821147,0.286399618
1,15287,-0.055599038,-0.210490924,0.282790848
1,15292,-0.053905272,-0.208037383,0.278587029
1,15297,-0.052098629,-0.205720823,0.275554477
1,15302,-0.05045314,-0.203484039,0.272217086
1,15307,-0.048620021,-0.20112809,0.266962295
1,15312,-0.046851925,-0.198691476,0.264056077
1,15317,-0.045226601,-0.196384715,0.260908356
1,15322,-0.04364783,-0.194114156,0.257468537
1,15327,-0.042085052,-0.191813168,0.254834356
1,15332,-0.040498455,-0.189569427,0.252998329
1,15337,-0.03882568,-0.18735973,0.250105892
1,15342,-0.037132782,-0.185068864,0.249277853
1,15347,-0.035543374,-0.182786497,0.247523956
1,15352,-0.033940026,-0.180639678,0.246559594
1,15357,-0.032331481,-0.178491382,0.245656092
1,15362,-0.030370276,-0.175957069,0.243063445
1,15367,-0.029044772,-0.174172412,0.2420746
1,15372,-0.027538297,-0.172142594,0.240296345
1,15377,-0.025926193,-0.169914778,0.23852555
1,15382,-0.024416434,-0.167805553,0.234719272
1,15387,-0.022864017,-0.165629205,0.233875719
1,15392,-0.021434234,-0.163577116,0.228707785
1,15397,-0.019938419,-0.161506583,0.223779549
1,15402,-0.018550288,-0.159480599,0.220490812
1,15407,-0.01711706,-0.157482696,0.21469879
1,15412,-0.015753151,-0.15563196,0.209240668
1,15417,-0.014387823,-0.153833123,0.205067598
1,15422,-0.012941481,-0.151869287,0.198764036
1,15427,-0.011574868,-0.150247312,0.191102293
1,15432,-0.009870819,-0.148502153,0.189472271
1,15437,-0.007986132,-0.14696232,0.186850228
1,15442,-0.004788083,-0.146392879,0.185200156
1,15447,-0.001414594,-0.146230727,0.185709918
1,15452,0.002306539,-0.146552783,0.18585715
1,15457,0.005691872,-0.146791231,0.186142261
1,15462,0.008676808,-0.146815892,0.185034031
1,15467,0.011764263,-0.146855543,0.184949742
1,15472,0.014831688,-0.146307995,0.184794793
1,15477,0.017798081,-0.146207055,0.184868444
1,15482,0.020794448,-0.146147152,0.185787962
1,15487,0.023453915,-0.145960378,0.185722346
1,15492,0.026280712,-0.145860587,0.186162834
1,15497,0.028919429,-0.145795821,0.185117215
1,15502,0.031650303,-0.14567339,0.180625875
1,15507,0.034476863,-0.145364444,0.176653769
1,15512,0.037194264,-0.145248668,0.172426901
1,15517,0.040128172,-0.145078313,0.169447925
1,15522,0.042685489,-0.144960686,0.166943936
1,15527,0.045406826,-0.144867046,0.163153015
1,15532,0.048260005,-0.144803463,0.160576074
1,15537,0.051074146,-0.144744947,0.155890119
1,15542,0.053633853,-0.144655701,0.155006599
1,15547,0.05622838,-0.144597417,0.155824521
1,15552,0.058940859,-0.144491704,0.151441139
1,15557,0.06173601,-0.144223464,0.149626288
1,15562,0.064325009,-0.144015624,0.148628866
1,15567,0.067015851,-0.143863638,0.148454942
1,15572,0.069682879,-0.14371248,0.148733693
1,15577,0.072198874,-0.143580204,0.148621054
1,15582,0.074662826,-0.143476968,0.148680079
1,15587,0.077310201,-0.143424259,0.149584904
1,15592,0.079874673,-0.143391766,0.149469686
1,15597,0.082353377,-0.143200148,0.148605624
1,15602,0.084951123,-0.143004377,0.149835894
1,15607,0.08753894,-0.142820093,0.149078328
1,15612,0.090074498,-0.142656195,0.149535922
1,15617,0.09300379,-0.142580036,0.149757454
1,15622,0.095230025,-0.142502409,0.148921122
1,15627,0.097759162,-0.14235482,0.145046775
1,15632,0.100274843,-0.142280707,0.144034586
1,15637,0.102893695,-0.142180724,0.141526045
1,15642,0.105561475,-0.142064182,0.137761621
1,15647,0.108146141,-0.141959202,0.133924497
1,15652,0.110742256,-0.141903322,0.131597437
1,15657,0.113234749,-0.141722358,0.12699402
1,15662,0.115825557,-0.141525591,0.123219123
1,15667,0.118316265,-0.141074929,0.12055168
1,15672,0.120791098,-0.140736188,0.119720892
1,15677,0.1226738,-0.139470222,0.115829887
1,15682,0.123278899,-0.137023676,0.116926893
1,15687,0.123500159,-0.134602808,0.117087557
1,15692,0.122771507,-0.132034267,0.116279762
1,15697,0.122359908,-0.129949627,0.116165014
1,15702,0.122052258,-0.127931838,0.115891057
1,15707,0.122335816,-0.125795607,0.115946322
1,15712,0.123030124,-0.123812098,0.116014039
1,15717,0.123358263,-0.121677901,0.117063187
1,15722,0.123470158,-0.120083436,0.116057127
1,15727,0.123861332,-0.118010059,0.116064012
1,15732,0.12406356,-0.115861501,0.116041471
1,15737,0.124102742,-0.113790353,0.115945443
1,15742,0.12397362,-0.111513303,0.11720879
1,15747,0.123747074,-0.109838763,0.116094392
1,15752,0.123136027,-0.107887854,0.116084976
1,15757,0.122312807,-0.105955414,0.116950603
1,15762,0.121273839,-0.103894215,0.116907343
1,15767,0.118842642,-0.101404681,0.11543888
1,15772,0.117796576,-0.098964655,0.117320659
1,15777,0.117139887,-0.097066974,0.117003344
1,15782,0.116319853,-0.094810845,0.117093303
1,15787,0.115569441,-0.092683477,0.116955964
1,15791,0.114664326,-0.09062828,0.116716092
1,15797,0.11388815,-0.088406296,0.117001207
1,15801,0.112987035,-0.086004029,0.116999216
1,15807,0.112281233,-0.084297127,0.117243058
1,15812,0.111454627,-0.082298354,0.116892779
1,15816,0.110607795,-0.080229616,0.116754724
1,15822,0.109724521,-0.078051824,0.117003513
1,15826,0.10877514,-0.07573256,0.115096829
1,15831,0.107898135,-0.073663395,0.116986759
1,15836,0.107073404,-0.071640649,0.117018482
1,15841,0.106199402,-0.069541497,0.116835802
1,15847,0.10535339,-0.06732113,0.117161929
1,15851,0.104514011,-0.065159914,0.116946745
1,15856,0.103648262,-0.063029264,0.116868148
1,15861,0.102763168,-0.060938858,0.116935413
1,15866,0.101898495,-0.058767128,0.116748234
1,15871,0.10099438,-0.056649966,0.116996523
1,15876,0.100163592,-0.054457075,0.117032144
1,15881,0.099194806,-0.052325888,0.116917642
1,15886,0.09827204,-0.05003936,0.116898401
1,15891,0.097613196,-0.048435101,0.117130473
1,15896,0.096713723,-0.046339701,0.114948841
1,15901,0.09586107,-0.044123628,0.114395544
1,15906,0.095022167,-0.042136282,0.111566689
1,15911,0.094050794,-0.039924159,0.107931906
